"Model","Fold","ACC","AUC","F1_score","PRO_S","PRO_NS","PROPP_S","PROPP_NS","SEN_S","SEN_NS","EO_S","EO_NS","PRE_S","PRE_NS","PRP_S","PRP_NS","ACC_S","ACC_NS","ACCP_S","ACCP_NS","FNR_S","FNR_NS","FNRP_S","FNRP_NS","FPR_S","FPR_NS","FPRP_S","FPRP_NS","GZ_S","GZ_NS"
"svmRadial",1,0.826086956521739,0.777777777777778,0.714285714285714,0.75,0.789473684210526,1,1.05263157894737,1,1,1,1,0.666666666666667,0.8,1,1.2,0.75,0.842105263157895,1,1.12280701754386,0,0,NA,NA,0.5,0.428571428571429,1,0.857142857142857,4,19
"svmRadial",2,0.727272727272727,0.651785714285714,0.5,1,0.80952380952381,1,0.80952380952381,NA,NA,NA,NA,0,0.764705882352941,NA,Inf,0,0.761904761904762,NA,Inf,NA,0.0714285714285714,NA,NA,1,0.571428571428571,1,0.571428571428571,1,21
"svmRadial",3,0.956521739130435,0.9375,0.933333333333333,1,0.681818181818182,1,0.681818181818182,1,1,1,1,1,0.933333333333333,1,0.933333333333333,1,0.954545454545455,1,0.954545454545455,0,0,NA,NA,NA,0.125,NA,NA,1,22
"svmRadial",4,0.91304347826087,0.933333333333333,0.888888888888889,0.6,0.538461538461538,1,0.897435897435897,1,1.33333333333333,1,1.33333333333333,1,1,1,1,0.8,1,1,1.25,0.25,0,1,0,0,0,NA,NA,10,13
"svmRadial",5,0.863636363636364,0.839285714285714,0.8,0.666666666666667,0.684210526315789,1,1.02631578947368,1,0.923076923076923,1,0.923076923076923,0.5,0.923076923076923,1,1.84615384615385,0.666666666666667,0.894736842105263,1,1.34210526315789,0,0.0769230769230769,NA,Inf,0.5,0.166666666666667,1,0.333333333333333,3,19
"Global",NA,0.857312252964427,0.827936507936508,0.767301587301587,0.803333333333333,0.700697548065969,1,0.893545051439788,NA,NA,NA,NA,0.633333333333333,0.88422322775264,NA,Inf,0.643333333333333,0.890658464342675,NA,Inf,NA,0.0296703296703297,NA,NA,NA,0.258333333333333,NA,NA,NA,NA
