"Model","Fold","ACC","AUC","F1_score","PRO_S","PRO_NS","PROPP_S","PROPP_NS","SEN_S","SEN_NS","EO_S","EO_NS","PRE_S","PRE_NS","PRP_S","PRP_NS","ACC_S","ACC_NS","ACCP_S","ACCP_NS","FNR_S","FNR_NS","FNRP_S","FNRP_NS","FPR_S","FPR_NS","FPRP_S","FPRP_NS","GZ_S","GZ_NS"
"svmLinear2",1,0.826086956521739,0.777777777777778,0.714285714285714,0.75,0.789473684210526,1,1.05263157894737,1,1,1,1,0.666666666666667,0.8,1,1.2,0.75,0.842105263157895,1,1.12280701754386,0,0,NA,NA,0.5,0.428571428571429,1,0.857142857142857,4,19
"svmLinear2",2,0.818181818181818,0.75,0.666666666666667,1,0.80952380952381,1,0.80952380952381,NA,NA,NA,NA,0,0.823529411764706,NA,Inf,0,0.857142857142857,NA,Inf,NA,0,NA,NA,1,0.428571428571429,1,0.428571428571429,1,21
"svmLinear2",3,0.782608695652174,0.804166666666667,0.736842105263158,1,0.5,1,0.5,1,0.714285714285714,1,0.714285714285714,1,0.909090909090909,1,0.909090909090909,1,0.772727272727273,1,0.772727272727273,0,0.285714285714286,NA,Inf,NA,0.125,NA,NA,1,22
"svmLinear2",4,0.869565217391304,0.870833333333333,0.823529411764706,0.6,0.615384615384615,1,1.02564102564103,1,1.33333333333333,1,1.33333333333333,1,0.875,1,0.875,0.8,0.923076923076923,1,1.15384615384615,0.25,0,1,0,0,0.166666666666667,NA,Inf,10,13
"svmLinear2",5,0.863636363636364,0.839285714285714,0.8,0.666666666666667,0.684210526315789,1,1.02631578947368,1,0.923076923076923,1,0.923076923076923,0.5,0.923076923076923,1,1.84615384615385,0.666666666666667,0.894736842105263,1,1.34210526315789,0,0.0769230769230769,NA,Inf,0.5,0.166666666666667,1,0.333333333333333,3,19
"Global",NA,0.83201581027668,0.808412698412698,0.748264779596049,0.803333333333333,0.679718527086948,1,0.882822440717178,NA,NA,NA,NA,0.633333333333333,0.866139448786508,NA,Inf,0.643333333333333,0.857957831642042,NA,Inf,NA,0.0725274725274725,NA,NA,NA,0.263095238095238,NA,NA,NA,NA
