"Model","Fold","ACC","AUC","F1_score","PRO_S","PRO_NS","PROPP_S","PROPP_NS","SEN_S","SEN_NS","EO_S","EO_NS","PRE_S","PRE_NS","PRP_S","PRP_NS","ACC_S","ACC_NS","ACCP_S","ACCP_NS","FNR_S","FNR_NS","FNRP_S","FNRP_NS","FPR_S","FPR_NS","FPRP_S","FPRP_NS","GZ_S","GZ_NS"
"svmRadial",1,0.826086956521739,0.777777777777778,0.714285714285714,0.75,0.789473684210526,1,1.05263157894737,1,1,1,1,0.666666666666667,0.8,1,1.2,0.75,0.842105263157895,1,1.12280701754386,0,0,NA,NA,0.5,0.428571428571429,1,0.857142857142857,4,19
"svmRadial",2,0.772727272727273,0.714285714285714,0.615384615384615,1,0.761904761904762,1,0.761904761904762,NA,NA,NA,NA,0,0.8125,NA,Inf,0,0.80952380952381,NA,Inf,NA,0.0714285714285714,NA,NA,1,0.428571428571429,1,0.428571428571429,1,21
"svmRadial",3,0.782608695652174,0.6875,0.545454545454545,1,0.863636363636364,1,0.863636363636364,1,1,1,1,1,0.736842105263158,1,0.736842105263158,1,0.772727272727273,1,0.772727272727273,0,0,NA,NA,NA,0.625,NA,NA,1,22
"svmRadial",4,0.956521739130435,0.966666666666667,0.941176470588235,0.7,0.538461538461538,1,0.769230769230769,1,1.14285714285714,1,1.14285714285714,1,1,1,1,0.9,1,1,1.11111111111111,0.125,0,1,0,0,0,NA,NA,10,13
"svmRadial",5,0.863636363636364,0.839285714285714,0.8,0.666666666666667,0.684210526315789,1,1.02631578947368,1,0.923076923076923,1,0.923076923076923,0.5,0.923076923076923,1,1.84615384615385,0.666666666666667,0.894736842105263,1,1.34210526315789,0,0.0769230769230769,NA,Inf,0.5,0.166666666666667,1,0.333333333333333,3,19
"Global",NA,0.840316205533597,0.797103174603175,0.723260269142622,0.823333333333333,0.727537374905796,1,0.894743852638589,NA,NA,NA,NA,0.633333333333333,0.854483805668016,NA,Inf,0.663333333333333,0.863818637502848,NA,Inf,NA,0.0296703296703297,NA,NA,NA,0.329761904761905,NA,NA,NA,NA
