"","Columns","IG"
"G6PD","G6PD",0.160916348032529
"CASD1","CASD1",0.148861680175459
"SDSL","SDSL",0.140629397218552
"ABCD1","ABCD1",0.138190071248909
"ERMAP","ERMAP",0.133388286607654
"SERTAD4","SERTAD4",0.130467921795087
"DDX41","DDX41",0.130324943003182
"PSMB7","PSMB7",0.128572720894852
"PSMD9","PSMD9",0.12591292305814
"CTAGE6","CTAGE6",0.125441237848683
