"Model","Fold","ACC","AUC","F1_score","PRO_S","PRO_NS","PROPP_S","PROPP_NS","SEN_S","SEN_NS","EO_S","EO_NS","PRE_S","PRE_NS","PRP_S","PRP_NS","ACC_S","ACC_NS","ACCP_S","ACCP_NS","FNR_S","FNR_NS","FNRP_S","FNRP_NS","FPR_S","FPR_NS","FPRP_S","FPRP_NS","GZ_S","GZ_NS"
"svmPoly",1,0.826086956521739,0.777777777777778,0.714285714285714,0.75,0.789473684210526,1,1.05263157894737,1,1,1,1,0.666666666666667,0.8,1,1.2,0.75,0.842105263157895,1,1.12280701754386,0,0,NA,NA,0.5,0.428571428571429,1,0.857142857142857,4,19
"svmPoly",2,0.863636363636364,0.8125,0.769230769230769,1,0.761904761904762,1,0.761904761904762,NA,NA,NA,NA,0,0.875,NA,Inf,0,0.904761904761905,NA,Inf,NA,0,NA,NA,1,0.285714285714286,1,0.285714285714286,1,21
"svmPoly",3,0.91304347826087,0.904166666666667,0.875,0,0.681818181818182,NA,Inf,NA,Inf,NA,Inf,NA,0.933333333333333,NA,NA,0,0.954545454545455,NA,Inf,1,0,1,0,NA,0.125,NA,NA,1,22
"svmPoly",4,0.826086956521739,0.808333333333333,0.75,0.6,0.692307692307692,1,1.15384615384615,1,1.33333333333333,1,1.33333333333333,1,0.777777777777778,1,0.777777777777778,0.8,0.846153846153846,1,1.05769230769231,0.25,0,1,0,0,0.333333333333333,NA,Inf,10,13
"svmPoly",5,0.863636363636364,0.839285714285714,0.8,0.666666666666667,0.684210526315789,1,1.02631578947368,1,0.923076923076923,1,0.923076923076923,0.5,0.923076923076923,1,1.84615384615385,0.666666666666667,0.894736842105263,1,1.34210526315789,0,0.0769230769230769,NA,Inf,0.5,0.166666666666667,1,0.333333333333333,3,19
"Global",NA,0.858498023715415,0.828412698412698,0.781703296703297,0.603333333333333,0.72194296931139,NA,Inf,NA,NA,NA,NA,NA,0.861837606837607,NA,NA,0.443333333333333,0.888460662144873,NA,Inf,NA,0.0153846153846154,NA,NA,NA,0.267857142857143,NA,NA,NA,NA
