"fold","ACC","AUC","F1"
"0","0.652173913043478","0.575","0.789473684210526"
"1","0.652173913043478","0.65","0.789473684210526"
"2","0.608695652173913","0.666666666666667","0.756756756756757"
"3","0.636363636363636","0.696428571428571","0.777777777777778"
"4","0.636363636363636","0.651785714285714","0.777777777777778"
"Global","0.637154150197628","0.64797619047619","0.778251936146673"
