"fold","ACC","AUC","F1"
"0","0.652173913043478","0.583333333333333","0.789473684210526"
"1","0.652173913043478","0.625","0.789473684210526"
"2","0.608695652173913","0.666666666666667","0.756756756756757"
"3","0.636363636363636","0.678571428571429","0.777777777777778"
"4","0.636363636363636","0.647321428571429","0.777777777777778"
"Global","0.637154150197628","0.640178571428571","0.778251936146673"
